Date,Meal,Time,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2018-07-01,Snacks,11:30 PM,168.2,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,32.1,0.0,0.0,0.0,0.0
2018-07-02,Breakfast,7:20 AM,221.8,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,8.6,0.0,0.0,0.0,0.0
2018-07-02,Breakfast,7:55 AM,110.1,11.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.6,0.4,2.4,0.0,0.0,0.0,0.0
2018-07-02,Lunch,12:00 PM,40.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,1.8,0.0,0.0,0.0,0.0
2018-07-02,Lunch,1:05 PM,80.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,3.5,0.0,0.0,0.0,0.0
2018-07-02,Lunch,1:35 PM,217.1,4.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.9,0.1,41.7,0.0,0.0,0.0,0.0
2018-07-02,Lunch,2:40 PM,152.5,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,2.8,0.0,0.0,0.0,0.0
2018-07-02,Dinner,5:25 PM,168.2,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,32.1,0.0,0.0,0.0,0.0
2018-07-02,Snacks,9:00 AM,172.9,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.8,2.8,5.0,0.0,0.0,0.0,0.0
2018-07-02,Snacks,9:20 AM,168.2,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,32.1,0.0,0.0,0.0,0.0
2018-07-02,Snacks,11:20 PM,187.4,4.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.9,0.1,32.9,0.0,0.0,0.0,0.0
2018-07-03,Breakfast,7:40 AM,34.4,3.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.1,0.7,0.0,0.0,0.0,0.0
2018-07-03,Breakfast,7:50 AM,69.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,2.6,9.2,2.8,0.0,0.0,0.0,0.0
2018-07-03,Breakfast,8:00 AM,24.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0
2018-07-03,Lunch,12:30 PM,236.0,11.6,8.4,0.0,0.0,0.0,0.0,0.9,0.0,27.4,0.0,0.0,3.6,0.0,0.0,0.0,0.0
2018-07-03,Dinner,4:30 PM,157.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2018-07-03,Snacks,11:25 AM,163.0,8.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,13.7,0.0,5.1,4.3,0.0,0.0,0.0,0.0
2018-07-03,Snacks,11:30 AM,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,1.4,17.3,1.4,0.0,0.0,0.0,0.0
2018-07-03,Snacks,11:40 AM,168.2,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,32.1,0.0,0.0,0.0,0.0
2018-07-03,Snacks,4:15 PM,168.2,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,32.1,0.0,0.0,0.0,0.0
2018-07-03,Snacks,8:15 PM,168.2,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,32.1,0.0,0.0,0.0,0.0
2018-07-03,Snacks,8:55 PM,81.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,16.1,0.0,0.0,0.0,0.0
2018-07-03,Snacks,11:30 PM,168.2,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,32.1,0.0,0.0,0.0,0.0
2018-07-04,Breakfast,7:30 AM,40.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,1.8,0.0,0.0,0.0,0.0
2018-07-04,Breakfast,7:35 AM,179.0,8.8,1.5,0.0,0.0,0.0,0.0,0.0,0.0,15.9,2.7,11.1,7.7,0.0,0.0,0.0,0.0
2018-07-04,Breakfast,7:45 AM,123.0,8.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,5.1,2.5,0.0,0.0,0.0,0.0
2018-07-04,Breakfast,7:55 AM,68.8,6.9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.4,0.3,1.5,0.0,0.0,0.0,0.0
2018-07-04,Lunch,1:20 PM,67.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,1.9,0.0,0.0,0.0,0.0
2018-07-04,Lunch,1:35 PM,168.2,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,32.1,0.0,0.0,0.0,0.0
2018-07-04,Dinner,8:10 PM,168.2,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,32.1,0.0,0.0,0.0,0.0
2018-07-04,Snacks,9:20 AM,69.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,2.6,9.2,2.8,0.0,0.0,0.0,0.0
2018-07-04,Snacks,9:50 AM,168.2,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,32.1,0.0,0.0,0.0,0.0
2018-07-04,Snacks,1:20 PM,397.9,7.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,42.1,0.4,0.0,32.1,0.0,0.0,0.0,0.0
2018-07-04,Snacks,8:30 PM,65.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,12.8,0.0,0.0,0.0,0.0
2018-07-05,Breakfast,7:35 AM,40.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,1.8,0.0,0.0,0.0,0.0
2018-07-05,Breakfast,7:40 AM,284.8,16.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,4.0,8.0,6.6,0.0,0.0,0.0,0.0
2018-07-05,Lunch,12:00 PM,168.2,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,32.1,0.0,0.0,0.0,0.0
2018-07-05,Lunch,12:30 PM,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.9,11.5,0.9,0.0,0.0,0.0,0.0
2018-07-05,Lunch,2:20 PM,127.7,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,2.2,0.0,0.0,0.0,0.0
2018-07-05,Dinner,9:30 PM,168.2,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,32.1,0.0,0.0,0.0,0.0
2018-07-05,Snacks,11:45 AM,286.3,9.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,43.1,4.3,14.1,7.8,0.0,0.0,0.0,0.0
2018-07-05,Snacks,4:15 PM,168.2,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,32.1,0.0,0.0,0.0,0.0
2018-07-05,Snacks,11:15 PM,224.0,4.7,0.8,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.6,0.0,43.4,0.0,0.0,0.0,0.0
2018-07-06,Breakfast,7:15 AM,93.8,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.0,4.6,0.0,0.0,0.0,0.0
2018-07-06,Breakfast,7:20 AM,88.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0
2018-07-06,Breakfast,7:30 AM,110.1,11.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.6,0.4,2.4,0.0,0.0,0.0,0.0
2018-07-06,Breakfast,7:50 AM,152.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0
2018-07-06,Breakfast,7:55 AM,168.2,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,32.1,0.0,0.0,0.0,0.0
2018-07-06,Lunch,12:50 PM,168.2,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,32.1,0.0,0.0,0.0,0.0
2018-07-06,Lunch,7:20 PM,80.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,3.5,0.0,0.0,0.0,0.0
2018-07-06,Dinner,4:30 PM,152.5,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,2.8,0.0,0.0,0.0,0.0
2018-07-06,Dinner,4:35 PM,168.2,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,32.1,0.0,0.0,0.0,0.0
2018-07-06,Snacks,12:45 PM,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.8,2.8,0.8,0.0,0.0,0.0,0.0
2018-07-06,Snacks,12:55 PM,99.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,0.0,0.0,1.8,0.0,0.0,0.0,0.0
2018-07-06,Snacks,5:20 PM,48.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,9.6,0.0,0.0,0.0,0.0
2018-07-06,Snacks,10:00 PM,168.2,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,32.1,0.0,0.0,0.0,0.0
2018-07-07,Breakfast,7:30 AM,93.8,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.0,4.6,0.0,0.0,0.0,0.0
2018-07-07,Breakfast,7:40 AM,254.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8,3.6,15.0,5.2,0.0,0.0,0.0,0.0
2018-07-07,Breakfast,7:50 AM,168.2,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,32.1,0.0,0.0,0.0,0.0
2018-07-07,Lunch,1:30 PM,218.5,16.8,1.3,0.0,0.0,0.0,0.0,0.0,0.0,9.8,3.5,5.9,7.7,0.0,0.0,0.0,0.0
2018-07-07,Lunch,3:45 PM,248.2,11.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.9,0.1,33.1,0.0,0.0,0.0,0.0
2018-07-07,Dinner,8:00 PM,32.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.8,0.0,0.0,0.0,0.0
2018-07-07,Snacks,9:30 AM,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.8,23.0,1.8,0.0,0.0,0.0,0.0
2018-07-07,Snacks,11:40 AM,168.2,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,32.1,0.0,0.0,0.0,0.0
2018-07-07,Snacks,9:30 PM,233.4,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.9,0.1,44.9,0.0,0.0,0.0,0.0
2018-07-08,Breakfast,9:35 AM,125.0,2.7,0.3,1.2,0.5,0.0,0.0,40.0,0.0,18.3,0.6,12.3,5.5,0.0,0.0,12.0,0.0
2018-07-08,Snacks,11:15 AM,85.0,2.1,0.3,1.2,0.5,0.0,0.0,40.0,0.0,12.5,0.6,12.3,3.7,0.0,0.0,12.0,0.0
